England,Bedfordshire,,
England,Buckinghamshire,,
England,Cambridgeshire,,
England,Cheshire,,
England,Cleveland,,
England,Cornwall,,
England,Cumbria,,
England,Derbyshire,,
England,Devon,,
England,Dorset,,
England,Durham,,
England,East Sussex,,
England,Essex,,
England,Gloucestershire,,
England,Greater London,,
England,Greater Manchester,,
England,Hampshire,,
England,Hertfordshire,,
England,Kent,,
England,Lancashire,,
England,Leicestershire,,
England,Lincolnshire,,
England,Merseyside,,
England,Norfolk,,
England,North Yorkshire,,
England,Northamptonshire,,
England,Northumberland,,
England,Nottinghamshire,,
England,Oxfordshire,,
England,Shropshire,,
England,Somerset,,
England,South Yorkshire,,
England,Staffordshire,,
England,Suffolk,,
England,Surrey,,
England,Tyne and Wear,,
England,Warwickshire,,
England,West Berkshire,,
England,West Midlands,,
England,West Sussex,,
England,West Yorkshire,,
England,Wiltshire,,
England,Worcestershire,,
Wales,Flintshire,,
Wales,Glamorgan,,
Wales,Merionethshire,,
Wales,Monmouthshire,,
Wales,Montgomeryshire,,
Wales,Pembrokeshire,,
Wales,Radnorshire,,
Wales,Anglesey,,
Wales,Breconshire,,
Wales,Caernarvonshire,,
Wales,Cardiganshire,,
Wales,Carmarthenshire,,
Wales,Denbighshire,,
Scotland,Aberdeen City,,
Scotland,Aberdeenshire,,
Scotland,Angus,,
Scotland,Argyll and Bute,,
Scotland,City of Edinburgh,,
Scotland,Clackmannanshire,,
Scotland,Dumfries and Galloway,,
Scotland,Dundee City,,
Scotland,East Ayrshire,,
Scotland,East Dunbartonshire,,
Scotland,East Lothian,,
Scotland,East Renfrewshire,,
Scotland,Eilean Siar,,
Scotland,Falkirk,,
Scotland,Fife,,
Scotland,Glasgow City,,
Scotland,Highland,,
Scotland,Inverclyde,,
Scotland,Midlothian,,
Scotland,Moray,,
Scotland,North Ayrshire,,
Scotland,North Lanarkshire,,
Scotland,Orkney Islands,,
Scotland,Perth and Kinross,,
Scotland,Renfrewshire,,
Scotland,Scottish Borders,,
Scotland,Shetland Islands,,
Scotland,South Ayrshire,,
Scotland,South Lanarkshire,,
Scotland,Stirling,,
Scotland,West Dunbartonshire,,
Scotland,West Lothian,,
Northern Ireland,Antrim,,
Northern Ireland,Armagh,,
Northern Ireland,Down,,
Northern Ireland,Fermanagh,,
Northern Ireland,Derry and Londonderry,,
Northern Ireland,Tyrone,,
England, west yorkshire,,
England, north yorkshire,,
England, city of derby,,
Wales, newport,,
England, stockton-on-tees,,
Wales, swansea,,
England, south gloucestershire,,
England, milton keynes,,
Walse, powys,,
England, stoke-on-trent,,
England, derbyshire,,
England, luton,,
England, bedfordshire,,
England, brighton and hove,,
England, cheshire,,
Wales, wrexham,,
England, medway,,
Wales, torfaen,,
England, city of plymouth,,
England, south yorkshire,,
England, middlesbrough,,
England, city of bristol,,
England, north east lincolnshire,,
Wales, the vale of glamorgan,,
England, city of kingston upon hull,,
England, southampton,,
England, york,,
Wales, neath port talbot,,
England, city of peterborough,,
England, bath and north east somerset,,
England, city of nottingham,,
England, torbay,,
England, redcar and cleveland,,
England, southend-on-sea,,
England, north lincolnshire,,
Wales, cardiff,,
England, bournemouth,,
wales, gwynedd,,
England, blackburn with darwen,,
England, thurrock,,
England, north somerset,,
Wales, merthyr tydfil,,
England, blackpool,,
England, swindon,,
England, isle of wight,,
England, bracknell forest,,
Wales, caerphilly,,
England, east riding of yorkshire,,
England, herefordshire,,
England, reading,,
England, portsmouth,,
England, hartlepool,,
England, windsor and maidenhead,,
Wales, ceredigion,,
England, halton,,
Wales, rhondda cynon taff,,
England, darlington,,
England, wrekin,,
Wales, isle of anglesey,,
England, warrington,,
England, wokingham,,
England, slough,,
England, poole,,
Wales, conwy,,
Wales, bridgend,,
England, rutland,,
Wales, pembrokeshire,,
Wales, blaenau gwent,,
England, cheshire west and chester,,
England, bedford,,
England, cheshire east,,
England, central bedfordshire,,
England, county durham,,
England, isles of scilly,,
England, cleveland,,
England, avon,,
